China,1413142846
India,1399179585
United States,339665118
Indonesia,279476346
Pakistan,247653551
Nigeria,230842743
Brazil,218689757
Bangladesh,167184465
Russia,141698923
Mexico,129875529
Japan,123719238
Ethiopia,116462712
Philippines,116434200
"Democratic Republic of the Congo",111859928
Egypt,109546720
Vietnam,104799174
Iran,87590873
Germany,84220184
Turkey (Turkiye),83593483
Thailand,69794997
France,68521974
United Kingdom,68138484
Tanzania,65642682
Italy,61021855
South Africa,58048332
Burma,57970293
Kenya,57052004
South Korea,51966948
Colombia,49336454
Sudan,49197555
Uganda,47729952
Spain,47222613
Argentina,46621847
Algeria,44758398
Ukraine,43306477
Iraq,41266109
Afghanistan,39232003
Canada,38516736
Poland,37991766
Morocco,37067420
Angola,35981281
Saudi Arabia,35939806
Malaysia,34219975
Ghana,33846114
Mozambique,32513805
Peru,32440172
Yemen,31565602
Uzbekistan,31360836
Nepal,30899443
Venezuela,30518260
Cameroon,30135732
Cote d'Ivoire,29344847
Madagascar,28812195
Australia,26461166
North Korea,26072217
Niger,25396840
Taiwan,23588613
Sri Lanka,23326272
Syria,22933531
Burkina Faso,22489126
Mali,21359722
Malawi,21279597
Zambia,20216029
Kazakhstan,19543464
Chile,18549457
Chad,18523165
Senegal,18384660
Romania,18326327
Guatemala,17980803
Ecuador,17483326
Netherlands,17463930
Cambodia,16891245
Zimbabwe,15418674
Benin,14219908
Guinea,13607249
Rwanda,13400541
Burundi,13162952
Somalia,12693796
Bolivia,12186079
South Sudan,12118379
Tunisia,11976182
Belgium,11913633
Haiti,11470261
Jordan,11086716
Cuba,10985974
Dominican Republic,10790744
Czechia,10706242
Sweden,10536338
Greece,10497595
Azerbaijan,10420515
Portugal,10223150
United Arab Emirates,9973449
Papua New Guinea,9819350
Hungary,9670009
Honduras,9571352
Belarus,9383853
Tajikistan,9245937
Israel,9043387
Austria,8940860
Sierra Leone,8908040
Togo,8703961
Switzerland,8563760
Laos,7852377
Paraguay,7439863
Hong Kong,7288167
Libya,7252573
Bulgaria,6827736
Serbia,6693375
El Salvador,6602370
Nicaragua,6359689
Eritrea,6274796
Kyrgyzstan,6122781
Singapore,5975383
Denmark,5946984
Turkmenistan,5690818
Republic of the Congo,5677493
Finland,5614571
Norway,5597924
Central African Republic,5552228
Liberia,5506280
Slovakia,5425319
Lebanon,5331203
Ireland,5323991
Costa Rica,5256612
New Zealand,5109702
Georgia,4936390
Panama,4404108
Mauritania,4244878
Croatia,4169239
Oman,3833465
Bosnia and Herzegovina,3807764
Uruguay,3416264
Mongolia,3255468
Moldova,3250532
Kuwait,3103580
Albania,3101621
Puerto Rico,3057311
West Bank,3050760
Armenia,2989091
Jamaica,2820982
Namibia,2777232
Lithuania,2655755
Qatar,2532104
The Gambia,2468569
Botswana,2417596
Gabon,2397368
Lesotho,2210646
North Macedonia,2133410
Slovenia,2099790
Guinea-Bissau,2078820
Gaza Strip,2037744
Kosovo,1964327
Latvia,1821750
Equatorial Guinea,1737695
Bahrain,1553886
Timor-Leste,1476042
Trinidad and Tobago,1407460
Mauritius,1309448
Cyprus,1308120
Estonia,1202762
Eswatini,1130043
Djibouti,976143
Fiji,947760
Comoros,888378
Bhutan,876181
Guyana,791739
Solomon Islands,714766
Luxembourg,660924
Macau,639971
Suriname,639759
Cabo Verde,603901
Montenegro,602445
Brunei,484991
Malta,467138
Belize,419137
Maldives,389568
Iceland,360872
The Bahamas,358508
Vanuatu,313046
Barbados,303431
French Polynesia,301488
New Caledonia,300682
Sao Tome and Principe,220372
Samoa,207501
Guam,169330
Saint Lucia,167591
Curacao,152849
Aruba,123702
Kiribati,115372
Grenada,114299
Tonga,105221
Virgin Islands,104917
Jersey,102785
Antigua and Barbuda,101489
Saint Vincent and the Grenadines,100804
Federated States of Micronesia,100319
Seychelles,97617
Isle of Man,91840
Andorra,85468
Marshall Islands,80966
Dominica,74656
Bermuda,72576
Guernsey,67642
Cayman Islands,65483
Turks and Caicos Islands,59367
Greenland,57777
Saint Kitts and Nevis,54817
Faroe Islands,52600
Northern Mariana Islands,51295
Sint Maarten,45677
American Samoa,44620
Liechtenstein,39993
British Virgin Islands,39369
San Marino,34892
Saint Martin,32897
Monaco,31597
Gibraltar,29629
Palau,21779
Anguilla,19079
Wallis and Futuna,15929
Tuvalu,11639
Nauru,9852
Cook Islands,7939
Saint Helena Ascension and Tristan da Cunha,7935
Saint Barthelemy,7093
Montserrat,5440
Saint Pierre and Miquelon,5195
Falkland Islands (Islas Malvinas),3198
Svalbard,2926
Christmas Island,2205
Niue,2000
Norfolk Island,1748
Tokelau,1647
Paracel Islands,1440
Holy See (Vatican City),1000
Cocos (Keeling) Islands,596
Pitcairn Islands,50